,summarized,idb,correct
0,Sultanate of Oman,Oman,1
1,Commonwealth of Australia,Australia,1
2,Plurinational State of Bolivia,Bolivia,1
3,Republic of Yemen,Yemen,1
4,Reunion,La Reunion,1
5,Switzerland,Switzerland,1
6,United States,Israel,0
7,Asia,La Reunion,0
8,Republic of Uganda,Uganda,1
9,Republic of Kenya,Kenya,1
10,Republic of France,France,1
11,Republic of Liberia,Liberia,1
12,Federal Republic of Nigeria,Nigeria,1
13,Republic of Costa Rica,Costa Rica,1
14,Republic of Cameroon,Cameroon,1
15,Republic of India,India,1
16,Republic of India,India,1
17,Islamic Republic of Iran,Iran,1
18,Federal Republic of Nigeria,Nigeria,1
19,Kingdom of Saudi Arabia,Saudi Arabia,1
20,Republic of India,India,1
21,Kingdom of Saudi Arabia,Saudi Arabia,1
22,Republic of India,India,1
23,Republic of Cameroon,Cameroon,1
24,Taiwan,Taiwan,1
25,United Arab Emirates,United Arab Emirates,1
26,Republic of Kenya,Kenya,1
27,Federative Republic of Brazil,Brazil,1
28,Republic of Uganda,Uganda,1
29,Federal Republic of Nigeria,Nigeria,1
30,Islamic Republic of Pakistan,Pakistan,1
31,United States,United States of America,1
32,Republic of Uganda,Uganda,1
33,Republic of Liberia,Liberia,1
34,Republic of Kenya,Kenya,1
35,Republic of Kenya,Kenya,1
36,Republic of Iraq,Iraq,1
37,Independent State of Papua New Guinea,Democratic Republic of Congo,0
38,Republic of India,India,1
39,People’s Democratic Republic of Algeria,Algeria,1
40,Republic of Liberia,Liberia,1
41,Republic of India,India,1
42,Islamic Republic of Pakistan,Pakistan,1
43,Republic of Peru,Peru,1
44,Republic of Yemen,Yemen,1
45,Democratic Republic of the Congo,Uganda,0
46,Republic of Uganda,Uganda,1
47,Federative Republic of Brazil,Democratic Republic of Congo,0
48,Republic of India,India,1
49,Democratic Republic of the Congo,Uganda,0
50,Czechia,Czech Republic,1
51,Kingdom of Spain,Spain,1
52,Republic of Angola,Angola,1
53,Kingdom of Spain,Spain,1
54,People’s Republic of China,China,1
55,Federative Republic of Brazil,Brazil,1
56,Federative Republic of Brazil,Brazil,1
57,Federal Republic of Germany,,
58,Independent State of Papua New Guinea,,
59,Democratic Republic of the Congo,Papua New Guinea,0
60,United States,United States of America,1
61,United States,United States of America,1
62,Switzerland,Switzerland,1
63,Rift Valley Province,Uganda,1
64,Federal Republic of Nigeria,Nigeria,1
65,People’s Democratic Republic of Algeria,Algeria,1
66,Republic of France,France,1
67,Islamic Republic of Pakistan,Pakistan,1
68,United Kingdom of Great Britain and Northern Ireland,United Kingdom,1
69,Republic of the Congo,Congo,1
70,Republic of France,French Guyana,1
71,Africa,Algeria,1
72,Kingdom of Saudi Arabia,Saudi Arabia,1
73,Kingdom of Saudi Arabia,Saudi Arabia,1
74,United Kingdom of Great Britain and Northern Ireland,United Kingdom,1
75,People’s Republic of China,China,1
76,Republic of the Congo,Congo,1
77,Islamic Republic of Pakistan,Pakistan,1
78,South Sudan,Croatia,0
79,Islamic Republic of Afghanistan,Afghanistan,1
80,Republic of Kazakhstan,Papua New Guinea,0
81,Independent State of Papua New Guinea,Papua New Guinea,1
82,United States,United Arab Emirates,1
83,Republic of France,France,1
84,Union of Burma,Myanmar,1
85,Union of Burma,Myanmar,1
86,Union of Burma,Myanmar,1
87,Republic of Haiti,Haiti,1
88,United Kingdom of Great Britain and Northern Ireland,Nigeria,0
89,Republic of Korea,Kuwait,0
90,United States,United Arab Emirates,0
91,United Kingdom of Great Britain and Northern Ireland,Nigeria,0
92,Independent State of Papua New Guinea,Papua New Guinea,1
93,South Sudan,Romania,0
94,South Sudan,Germany,0
95,South Sudan,,
96,Republic of Costa Rica,Israel,0
97,Republic of Liberia,Liberia,0
98,Independent State of Papua New Guinea,India,0
99,Federal Republic of Nigeria,Nigeria,0
100,South Sudan,Czech Repubic,0
101,Republic of the Sudan,Sudan,1
102,United Kingdom of Great Britain and Northern Ireland,United Kingdom,1
103,Japan,Japan,1
104,United States,United States of America,1
105,Plurinational State of Bolivia,Bolivia,1
106,Federal Republic of Nigeria,Israel,0
107,Kingdom of Spain,Spain,1
108,Republic of Yemen,Yemen,1
109,Republic of South Africa,South Africa,1
110,Switzerland,Switzerland,1
111,Bolivarian Republic of Venezuela,Venezuela,1
112,Commonwealth of Australia,Australia,1
113,United States,United States of America,1
114,Republic of Kenya,Kenya,1
115,Islamic Republic of Afghanistan,Afghanistan,1
116,Japan,Japan,1
117,Federal Republic of Nigeria,Nigeria,1
118,Federal Republic of Nigeria,Nigeria,1
119,Republic of Niger,Nigeria,1
120,United States,United States of America,1
121,Islamic Republic of Afghanistan,Afghanistan,1
122,New Zealand,New Zealand,1
123,Japan,Japan,1
124,Republic of South Africa,South Africa,1
125,Republic of India,India,1
126,United Kingdom of Great Britain and Northern Ireland,Morocco,0
127,Federal Republic of Nigeria,Nigeria,1
128,Commonwealth of Australia,Australia,1
129,Malaysia,Ireland,0
130,Republic of Namibia,Namibia,1
131,Hong Kong Special Administrative Region,Hong Kong,1
132,Federal Republic of Nigeria,Nigeria,1
133,Lebanon,Lebanon,1
134,Dominican Republic,Dominican Republic,1
135,Argentine Republic,Argentina,1
136,Republic of India,India,1
137,Republic of Uzbekistan,Uzbekistan,1
138,Asia,La Reunion,0
139,Republic of Liberia,Liberia,1
140,Federal Republic of Nigeria,Nigeria,1
141,Republic of Trinidad and Tobago,Trinidad and Tobago,1
142,Republic of Liberia,Liberia,1
143,Democratic Republic of the Congo,Democratic Republic of Congo,1
144,Democratic Republic of the Congo,Democratic Republic of Congo,1
145,Democratic Republic of the Congo,Democratic Republic of Congo,1
146,Republic of India,India,1
147,Republic of Peru,Peru,1
148,Democratic Republic of the Congo,Democratic Republic of Congo,1
149,,Democratic Republic of Congo,
150,Islamic Republic of Iran,Iran,1
151,Republic of Cameroon,Cameroon,1
152,Rift Valley Province,Kenya,1
153,Rift Valley Province,Kenya,1
154,Rift Valley Province,Kenya,1
155,Republic of Uganda,Uganda,1
156,Democratic Republic of the Congo,Democratic Republic of Congo,1
157,Independent State of Papua New Guinea,Papua New Guinea,1
158,People’s Democratic Republic of Algeria,Algeria,1
159,Italian Republic,Italy,1
160,Dominican Republic,Dominican Republic,1
161,People’s Republic of China,China,1
162,United States,United States of America,1
163,United States,United States of America,1
164,United States,United States of America,1
165,United States,United States of America,1
166,Kingdom of Saudi Arabia,Saudi Arabia,1
167,United States,United States of America,1
168,United States,United States of America,1
