,train_size,train_score,test_score
0,258,1.1,0.0
1,258,1.1,0.0
2,258,1.1,0.0
3,258,1.1,0.0
4,258,1.1,0.0
5,841,0.9723225030084237,0.11766444937176647
6,841,0.9504950495049506,0.255640243902439
7,841,0.9916467780429594,0.0
8,841,0.9916467780429594,0.03025367683348139
9,841,0.9916467780429594,0.0
10,1423,0.9362318840579711,0.28923380142892335
11,1423,0.947063089195069,0.2804878048780488
12,1423,0.9116347569955816,0.40904155562136024
13,1423,0.9232440260680665,0.1413976902576251
14,1423,0.9232440260680665,0.22781561543776532
15,2005,0.901047120418848,0.3497413155949742
16,2005,0.9118266544438623,0.4138719512195122
17,2005,0.9076219344171947,0.40588293357023003
18,2005,0.8833941547253407,0.21202250518211432
19,2005,0.8918573981111205,0.28230184581976103
20,2588,0.8804879033886667,0.4296624784429663
21,2588,0.8845591501332544,0.32439024390243903
22,2588,0.8893455992692635,0.47917283585036025
23,2588,0.8669015462908591,0.18621064060803474
24,2588,0.8643424923327283,0.3592932583160596
