,train_size,train_score,test_score
0,258,0.4680000000000001,0.0
1,258,,
2,258,,
3,258,,
4,258,,
5,841,0.0,1.1
6,841,0.5997593261131167,0.20846905537459284
7,841,0.0,0.0
8,841,0.0,0.0
9,841,0.0,0.0
10,1423,0.006798579401319125,0.0
11,1423,0.025,0.0
12,1423,0.0,0.0
13,1423,0.0,0.0
14,1423,0.0,0.0
15,2005,0.0,1.1
16,2005,0.0,0.0
17,2005,0.010051948051948055,0.0
18,2005,0.0,0.0
19,2005,0.013698630136986302,0.0
20,2588,0.00041254125412541255,0.0
21,2588,0.0911929461547782,0.0
22,2588,0.0,0.0
23,2588,0.0,0.0
24,2588,0.0,0.0
