,train_size,train_score,test_score
0,366,,
1,366,0.0,0.0
2,366,0.0,0.0
3,366,0.0,0.0
4,366,0.0,0.0
5,1191,,
6,1191,0.0,0.0
7,1191,0.011111111111111112,0.0
8,1191,0.0,0.0
9,1191,0.0,0.0
10,2016,0.04540513833992096,0.017467747459755677
11,2016,0.0,0.0
12,2016,0.00570807790796927,0.0
13,2016,0.0,0.0
14,2016,0.0,0.0
15,2841,0.6068393562958782,0.6089783841382197
16,2841,0.6056262900597501,0.511121682047379
17,2841,0.6610722433460074,0.3907192465036628
18,2841,0.6621151548071701,0.37364607170099157
19,2841,0.6544872351982618,0.44298245614035087
20,3666,0.6837843468736606,0.6951992236556684
21,3666,0.6848151317404925,0.6319094282180573
22,3666,0.7061162411732754,0.5892303301303395
23,3666,0.7005257714315478,0.5828089244851258
24,3666,0.6925003534410273,0.5947368421052631
