,train_size,train_score,test_score
0,366,,
1,366,0.0,0.0
2,366,0.0,0.0
3,366,0.0,0.0
4,366,0.0,0.0
5,1191,,
6,1191,0.0,0.0
7,1191,0.0,0.0
8,1191,0.0,0.0
9,1191,0.0,0.0
10,2016,0.0,0.0
11,2016,0.0,0.0
12,2016,0.0,0.0
13,2016,0.0,0.0
14,2016,0.0,0.0
15,2841,0.6164596273291926,0.6007154545800509
16,2841,0.6255817490494298,0.5463561982684807
17,2841,0.6420988593155893,0.4266387593949196
18,2841,0.6736556219445954,0.4418668954996186
19,2841,0.6572341118957088,0.4383009153318077
20,3666,0.6940026906043144,0.6868030977661073
21,3666,0.6956392073991948,0.6133288935401009
22,3666,0.7100593036839717,0.6387023118637619
23,3666,0.7140669528918916,0.5943840579710146
24,3666,0.69583624147091,0.6401029748283752
