,class,task,dataset,size
0,positive,relevance_scoring,train,126.0
1,positive,relevance_scoring,test,38.0
2,positive,relevance_scoring,validation,
3,positive,key_date_extraction,train,82.0
4,positive,key_date_extraction,test,27.0
5,positive,key_date_extraction,validation,
6,positive,key_count_extraction,train,257.0
7,positive,key_count_extraction,test,98.0
8,positive,key_count_extraction,validation,
9,positive,relevance_scoring_CNN,train,67.0
10,positive,relevance_scoring_CNN,test,42.0
11,positive,relevance_scoring_CNN,validation,55.0
12,negative,relevance_scoring,train,2301.0
13,negative,relevance_scoring,test,771.0
14,negative,relevance_scoring,validation,
15,negative,key_date_extraction,train,161.0
16,negative,key_date_extraction,test,54.0
17,negative,key_date_extraction,validation,
18,negative,key_count_extraction,train,2629.0
19,negative,key_count_extraction,test,865.0
20,negative,key_count_extraction,validation,
21,negative,relevance_scoring_CNN,train,1874.0
22,negative,relevance_scoring_CNN,test,606.0
23,negative,relevance_scoring_CNN,validation,592.0
